category_1,category_2,category_3
Desejos,Transporte,Combustível
Desejos,Transporte,Manutenção
Desejos,Transporte,Estacionamento
Desejos,Transporte,Seguro
Desejos,Transporte,Parcela
Desejos,Transporte,IPVA
Desejos,Transporte,Movimentação
Necessidades,Moradia,Aluguel
Necessidades,Moradia,Energia
Necessidades,Moradia,Água
Necessidades,Moradia,Internet
Necessidades,Moradia,Gás
Necessidades,Moradia,Manutenção
Necessidades,Alimentação,Supermercado
Desejos,Alimentação,Delivery
Necessidades,Saúde,Plano de saúde
Necessidades,Saúde,Farmácia
Necessidades,Saúde,Consultas
Necessidades,Saúde,Exames
Necessidades,Saúde,Academia
Necessidades,Educação,Mensalidade
Necessidades,Educação,Materiais
Necessidades,Educação,Cursos
Desejos,Compras,Roupas
Desejos,Compras,Calçados
Desejos,Compras,Eletrônicos
Desejos,Compras,Casa e decoração
Poupanças,Finanças,Reserva de Emergência
Poupanças,Finanças,Investimentos
Poupanças,Finanças,Liz
Necessidades,Impostos,Impostos
Desejos,Outros,Presentes
Desejos,Outros,Emergências
